sent_to,count
Dulwich Dive Club,1
Dudley Group of Hospitals NHS Trust,1
Dudley Group of Hospitals NHS Foundation Trust,1
East Suffolk and North Essex NHS Foundation Trust,1
East Surrey Hospital,1
East Sussex Health Care NHS Trust,1
Emsworth Surgery,1
Essex Community Rehabilitation Company,1
Epsom and St Helier University Hospitals NHS Trust,1
Epsom General Hospital,1
Epsom & St Helier University Hospital NHS Trust,1
Environmental Services Associations,1
Enfield Clinical Commissioning Group,1
Endless Street Surgery,1
Emirates Airlines,1
East of England Ambulance Service NHS Trust,1
Emergency Preparedness Resilience and Response,1
Emergency Call Prioritisation Advisory Group ECPAG,1
Emergency Call Prioritisation Advisory Group,1
Eldercare,1
Egton Medical Information Systems,1
Edgeley Medical Centre,1
Eastgate Residential Care Homes,1
Drug Alcohol Action Team Cornwall Council,1
Downham Grange Care Home,1
DAF Trucks Ltd,1
Dorset Highways Departments,1
Devon Local Medical Centre,1
Devon Highways,1
Devon County Council,1
Derwent Students,1
Derby and Burton NHS Foundation Trust,1
Department of State for Social Care,1
Department of Culture Media and Sport,1
Department fr Health,1
Department for Housing Communities and Local Government,1
Department for Community and Local Government,1
Denbighshire County Council,1
Delamere Medical Practice,1
David Ake & Co Solicitors,1
Darwin medical Practice,1
Darlington Cattle Mart,1
DVLA Medical Branch,1
DHL Supply Chain UKI,1
Devon Local Medical Committee,1
Devon NHS Integrated Care Commission,1
Devon and Cornwall Police Adult Safeguarding Team,1
Donneybrook Medical Centre,1
Dorset Highways Department,1
Dorset Healthcare University Hospital NHS Trust,1
Dorset Health Care University,1
Dorset County Hospital,1
Dorset County Council,1
Dorset Council Highways Department,1
Dorset CCG,1
Doncaster and Bassetlaw Teaching Hospitals NHS Trust,1
Digsafe Suction Excavations Limited,1
Doncaster and Bassetlaw NHS Foundation Trust,1
Doncaster and Bassetlaw Hospital NHS Trust,1
Doncaster Highways Services,1
Doncaster County Council,1
Director of Housing,1
Diprobase Bayer Public Limited,1
Dinnington Group Practice,1
Calderdale Metropolitan Borough Council,1
CWM Taff University Board,1
CWM Taff Health Board,1
Aneurin Bevan University Heath Board,1
BEIS,1
BCP Council,1
B & D Civil Engineering Limited,1
Avon and Wiltshire NHS Trust,1
Avon and Somerset Police,1
Avon Care Home Limited,1
Avenue House Nursing and Care Home,1
Audlem Medical Practice,1
Association of Police Officers,1
Association of Ambulance,1
Ashford and St Peter Hospital,1
Army Headquarters,1
Arjo Huntliegh,1
Arden Court Nursing Home,1
Arboricultural Association,1
Aran Court Care Centre,1
Antron Manor Care Home,1
BMI Hospitals,1
BMI The Shelburne Hospital,1
BUPA UK,1
Barnet Enfield and Haringey Mental Health NHS Trust,1
Bassetlaw,1
Basildon Hospital Trust,1
Basildon Hospital NHS Trust,1
Barts Hospital NHS Trust,1
Barts Health,1
Barnsley Hospital NHS Trust,1
Barnsley Hospital NHS Foundation Trust,1
Barnet Council,1
Bailey Trailers Ltd,1
Barking Havering and Redbridge NHS Trust,1
Barchester Homes,1
Barchester Healthcare,1
Bannatyne Group,1
Banes Park and Services,1
Banes CCG,1
Bampton Surgery,1
Aneurin University Health Board,1
Amey PLC,1
Bausch & Lomb UK Ltd,1
Ambulance Association,1
Adbolton Hall Nursing Home,1
Able Care and Support Services Ltd,1
AR1 Homecare Limited,1
AGD Equipment Limited,1
ADS,1
ADL PLC,1
ADAPT,1
ACPO,1
AACE’s National Directors of Operations Group,1
A2Dominion of The Point,1
A J Way & Co Ltd,1
999 Liaison Committee,1
5 Boroughs Partnership NHS Trust,1
5 Boroughs Partnership NHS Foundation Trust Warrington,1
5 Boroughs NHS Foundation Trust,1
5 Borough Partnership NHS Trust,1
2gether NHS Trust,1
Addaction,1
Addcounsel,1
Adelaide Medical Centre,1
Airedale NHS Trust,1
Ambassador House Care Home,1
Alvaston Medical Centre,1
Alliance Pharmaceutical,1
Alexandra View Care Home,1
Alexander House Health Centre,1
Alexander Court Care Central,1
Al Hijrah School,1
Advisory Council on the Misuse of Drugs,1
Aden Nursing Home,1
Advinia Healthcare Ltd,1
Advanced Health & Care Ltd,1
Adult Social Services,1
Adult Social Care – Leeds City Council,1
Adult Safeguarding Kent County Council,1
Adult Safeguarding Civic Centre,1
Adferiad Recovery,1
Bateman Engineering Ltd,1
Bayer Plc,1
CRG Lead Commissioner,1
Brancaster Care,1
British Renal Society,1
British Parachute Association,1
British National Formulary,1
British Mountaineering Council,1
British Maternal and Fetal Medicine Society,1
British Kite Surfing Association,1
British Cardiovascular,1
British Cardiac Intervention Society,1
British Association of Dermatologists,1
Bristol University,1
Bristol Community Health,1
Bristol Clinical Commissioning Group,1
Brisdoc,1
Brighton and Sussex University Hospitals,1
Brighton and Sussex University Hospital Trust,1
Brighton and Hove Clinical Commission Group,1
Brighton and Hove City Council,1
British Society of Gastroenterology,1
British Society of Interventional Radiology,1
British Standards Institution,1
Bury Rochdale & Oldham Clinical Commissioning Groups,1
CORMAC – Cornwall Council – Highways Department,1
CMHT Commissioners,1
CMF Limited,1
CLS Care Services,1
CAMHS,1
CAFCASS,1
Byron Hamburgers,1
Burton Croft Surgery,1
British Sub Aqua Club,1
Buckingham Council Children’s Services,1
Brompton NHS Trust,1
Bromley CCG,1
Bromford Lane Nursing Home,1
Broadmoor Hospital,1
British Travel Agents,1
British Transplantation Society,1
Bridgend County Borough Council,1
Bradford Royal Infirmary,1
Bedford Borough Council,1
Bradford District Care NHS Trust,1
Black Country NHS Partnership Trust,1
Birmingham Women’s and Children’s NHS Trust,1
Birmingham Woman’s and Children NHS Trust,1
Birmingham Prison,1
Birmingham Community NHS Trust,1
Birmingham Community Healthcare NHS Foundation Trust,1
Birmingham & Solihull Mental Heath NHS Trust,1
Betsi Cadwaladr University Health Board BCUHB,1
Berkshire Healthcare NHS Foundation Trust,1
Berkeley Home Health,1
Belong Village,1
Belgravia Care Home Ltd,1
Beechwood Lodge Care Home,1
Beechdene Residential Home,1
Beech Cliffe Grange Care Homes,1
Bedfordshire Police Constabulary,1
Bedford Hospitals NHS Foundation Trust,1
Black Country Partnership NHS Trust,1
Black Country Pathological Service,1
Blackpool CCG,1
Bolton NHS Trust,1
Bradford District Care Foundation Trust,1
Brace Street Health Centre,1
Bowden Derra Park Ltd,1
Bournemouth Churches Housing Association BCHA,1
Bournemouth Borough Council,1
Borough Care Ltd,1
Borough Care Limited,1
Bolton Hospital NHS Trust,1
Blackpool Teaching Hospital NHS Trust,1
Bolton Council,1
Boldmere Court Care Home,1
Boehringer Ingelheim Limited,1
Bodmin Road Health Centre,1
Blenheim House Care Home,1
Blaenau Gwent County Borough Council,1
Blackpool Teaching Hospitals NHS Foundation Trust,1
Essex Partnership NHS Trust,1
Essex Partnership University NHS Foundation Trust,1
Exeter University,1
Lime Tree Surgery,1
London Central & West Unscheduled Care Collaborative,1
London Bridge Hospital,1
London Borough of Southwark,1
London Borough of Lewisham Adult Care Services,1
London Borough of Lambeth,1
London Borough of Hounslow,1
Lockfield Surgery,1
Locala,1
Local Health Board,1
Livewell South West,1
Liverpool Heart and Chest Hospital NHS Trust,1
Liverpool City Council,1
Lisson Grove Health Centre,1
Linden House Surgery,1
Lincolnshire Partnership NHS Foundation Trust,1
Lincolnshire Hospitals NHS Trust,1
Lincolnshire County Council Highways Department,1
London Fire Brigade,1
London North West University Healthcare NHS Trust,1
London North West University NHS Trust,1
M C Federation,1
Maidstone and Tunbridge Wells NHS Foundation Trust,1
Maidstone & Tunbridge Wells NHS Trust,1
Magenta Living Support Link,1
Maesteg Comprehensive School,1
MOJ HM Prison and Probation Service,1
MIRUS Wales,1
MFT,1
M & S Water Services,1
London North Western Railways,1
Lynmere Nursing home,1
Luton & Dunstable University Hospital NHS Trust,1
Ludlow Street Healthcare,1
Lower Clapton Group Practice,1
Lord Chancellor,1
London and South Eastern Railway,1
London Royal Borough of Greenwich,1
Lincolnshire Community Health Service NHS Trust,1
Lifeskills,1
Manchester Airport Group,1
Lifeshield Medical Services Limited,1
Kirklees Council,1
King’s College Hospital NHS Foundation Trust,1
Kingsley Care Home,1
Kindandental,1
Kettering General Hospital NHS Foundation Trust,1
Kernow Clinical Commissioning Group,1
Kernow CCG,1
Kent and Medway Social Care Partnership Trust,1
Kent and Medway NHS and Social Care Partnership Trust,1
Kendal Calling,1
Justice Secretary,1
Jubilee Stores,1
Jubilee Gardens Care Centre,1
Johnson and Johnson Medical Devices,1
Johnnie Johnson Housing,1
John Radcliffe Hospital,1
Jigsaw Homes Tameside,1
Knowle House Surgery,1
Kockey Road Medical Centre,1
LTHTR,1
Lean on Me Care Agency,1
Lewisham & Greenwich NHS Trust,1
Leicester Partnership NHS Trust,1
Leicester NHS Trust,1
Leicester City Council,1
Leek Health Centre,1
Leeds Teaching Hospital NHS Trust,1
Leeds City Council Highways Department,1
Lands Estates and Property Housing and Land Directorate Greater London Authority,1
Laing O’Rourke UK & Europe,1
Landlord,1
Lancashire and South Cumbria NHS Foundation Trust,1
Lancashire County Council,1
Lancashire Care NHS Foundation Trust,1
Lambton House LTD,1
Lambton Care Home,1
Lakeview Care Home,1
Managing Director of Cegedim,1
Manchester City Council,1
JV Ltd,1
Minister of Suicide Prevention,1
NHS Improvements,1
NHS Hardwick CCG,1
NHS Hardwick,1
NHS England: Department of Health,1
NHS England NHS Improvements,1
NHS England CCG,1
NHS Care Commissioning Group,1
NHS Calderdale CCG,1
NHS Bristol Clinical Commissioning Group,1
NHS Blood and Transplant,1
NHS Birmingham and Solihull CCG,1
NEAS NHS Trust,1
NEAS Foundation Trust,1
Mylan Pharmaceuticals,1
Motor Cross Federation,1
Moorfields Eye Hospital NHS Foundation Trust,1
Monmouth County Council,1
NHS Kernow,1
NHS Kernow Clinical Commissioning Group,1
NHS Lewisham Clinical Commissioning Group,1
NHS Stockport Clinical Commissioning Group,1
National Clinical Director for Children & Young People,1
National Autistic Society,1
National Ambulance Service Medical Directors,1
National Ambulance Resilience Unit,1
Nant y Gaer Hall Nursing Home,1
NICE Department of Health and Social Care,1
NHS University Hospital Bristol NHS Trust,1
NHS Stockport Clinical Commission Group,1
NHS Manchester Clinical Commissioning Group,1
NHS Somerset Clinical Commissioning Group,1
NHS Professionals Ltd,1
NHS Oldham CCG,1
NHS Northumberland Clinical Commissioning Group,1
NHS Northern Eastern and Western Devon Clinical Commissioning Group,1
NHS Northern Eastern and Western Devon CCG,1
NHS Northern Eastern and Western Clinical Commissioning Group,1
Ministry of Justice Coroners,1
Minister of State for Prisons,1
Manchester Mental Health NHS Trust,1
Minister of State for Disabled People Health and Work,1
Media City UK,1
MedPure Healthcare,1
Meade Close Care Home,1
1st For Health International,1
Mayor of Greater Manchester,1
Mayday Group,1
Maurice Mason Ltd,1
Masta Limited,1
Marks and Spencer,1
Marble Ideas Ltd,1
Mansfield and Ashfield,1
Manor Field Surgery,1
Manchester University Hospitals NHS Foundation Trust,1
Manchester University Foundation Trust MFT,1
Manchester United Football Club Digital Culture Media and Sport,1
Manchester Police,1
Manchester Mental Health and Social Care Trust,1
Medical Care Council,1
Medical Centre Stalybridge,1
Medical Officer Welsh Government,1
Midgehole Working Mens Club,1
Minister for Prisons,1
Minister for Health and Social Services,1
Minister for Health Welsh Assembly Government,1
Minister for Health,1
Midwifery and Maternity Portsmouth Hospitals NHS Trust,1
Midlands and Lancashire Commissioning Support Unit,1
Midland Partnership NHS Trust,1
Mid and South Essex NHS Foundation Trust,1
Medicines and Healthcare products Regulation Agency,1
Mid Yorkshire NHS Trust,1
Mid Essex CCG Trust,1
Merthyr Tydfil County Borough Council,1
Merseyside Police,1
Mersey Care NHS Trust,1
Mersey Care NHS Foundation Trust,1
Medico Legal Manager,1
Jigsaw Homes Group,1
Isle of Wight NHS Trust,1
FCO,1
Great Western Hospital NHS Trust,1
HM Prison Cardiff,1
HM Prison,1
HM Inspector of Railways,1
HCA Health Care UK,1
H R Healthcare Limited,1
Gwynedd Council,1
Gwern Alyn House Residential Home,1
Guinness Care,1
Greenbrook Healthcare,1
Green Porch Medical Centre,1
Greater Manchester West Mental Health NHS Foundation Trust,1
Greater Manchester West Health NHS Trust,1
Greater Manchester Mental Health NHS Foundation Trust GMMH,1
Greater Manchester Mental Health & Social Care Trust,1
Greater Manchester Medicines Management Group,1
Greater Manchester Fire and Rescue Service,1
Greater Manchester Combined Authority,1
HM Prison and Probation Services,1
HMP Bedford,1
HMP Berwyn,1
HMP Lindholme,1
HMP Swansea,1
HMP Swaleside,1
HMP Stoke,1
HMP Rochester,1
HMP Ranby,1
HMP Portland,1
HMP Lowdham Grange,1
HMP Leicester,1
HMP Birmingham,1
HMP Lancaster Farms,1
HMP High Down,1
HMP Guys Marsh Prison,1
HMP Garth,1
HMP Exeter,1
HMP Elmley,1
HMP Dartmoor,1
Great Western Railway,1
Great Ormond Street Hospital NHS Trust,1
HMP Winchester,1
Great Ormond Street Hospital,1
Fremington Medical Centre,1
Free the Way,1
Foxhound Association,1
Forestry Commission,1
Foreign Office,1
Football Association,1
Flintshire County Council,1
Fitzalan Medical Group,1
Fisher and Paykel,1
First Response Group,1
First Port Retirement Property Services Limited,1
First Mainline,1
First Class Care,1
Fire Officers Association,1
Fern House Surgery,1
Federation of Piling Specialists,1
Fairfield View Care Centre,1
Frimley Park Hospital,1
Future Care & Social Care Association,1
G4S Medical Services,1
Gloucestershire Police,1
Grassy Meadow Care Centre,1
Grasmere Surgery,1
Grange Clinic,1
Govia Thameslink Railways,1
Governor HMP Hewell,1
Government Legal Department,1
Goals Soccer Centres PLC,1
Gloucestershire Hospital NHS Foundation Trust,1
GE Healthcare,1
Gloucestershire County Council Highways Department,1
Gloucestershire Care Services NHS Trust,1
Glenholme Holdingham Grange Care Home,1
George Eliot Hospital NHS Trust,1
George Eilot Hospital NHS Trust,1
General Council,1
GRS Recovery,1
HMP Wandsworth,1
HMP Wormwood Scrubs,1
Isle of Wight Highways Department,1
Highway and Transport Wiltshire Council,1
Hull Combined Court Centre,1
Housing of Vulnerable People Building Safety,1
Hounslow Borough Council,1
Hoults Limited,1
Hospital NHS Trust Derriford Hospital,1
Hopwood House Medical Practice,1
Home Farm Trust Limited,1
Home Care Support Limited,1
Holy Cross Hospital,1
Hirst Electrical Plant Hire Services UK Ltd,1
Hindley Health Centre Pharmacy,1
Hilton Hotel,1
Hillbrook Grange Residential Care Home,1
Highways England National Traffic Operations Centre,1
Highways Department – Salford City Council,1
Highways Department Birmingham City Council,1
Highways Department,1
Human Race Limited,1
Humber Bridge Board,1
Hunters Lodge Care Home,1
Informa Healthcare,1
Isle of Wight Council,1
Islands Roads,1
Interweave,1
International Maritime Organisation,1
International Academics of Emergency Dispatch,1
Instastop Ltd,1
Inmind Healthcare Group,1
Independent Monitoring Board,1
Hurst Hall Care Centre,1
Independent Healthcare Providers Network,1
Independence Homes Limited,1
Incommunities,1
Incarace,1
Impact Housing Association,1
Hywel Dda University Health Board,1
Hwyel Dda University Health Board,1
Highways Agency Essex County Council,1
Highlands and Trafalgar Square Surgery,1
HMP Wymott,1
Hewett School,1
Hart Care Nursing and Residential Home,1
Harrogate & Rural District Clinical Commissioning Group,1
Harden & Bingley Park Ltd,1
Harbour Healthcare,1
Hands of Light Academy,1
Hampshire Police Constabulary,1
Hampshire NHS Trust,1
Hampshire Constabulary Police,1
Hamilton Community Homes Ltd,1
Hamerton Zoological Park,1
Halton Clinical Commissioning Group,1
HSE Soilmec Limited,1
HSE Local Government Association,1
HMYOI Cookham Wood,1
HMPS,1
HMPPS,1
HMP YOI Glen Parva,1
Haughton Thornley Medical Centres,1
Haven Day Care Centre,1
Havering Highways,1
Heaton Moor Medical Centre,1
Hertfordshire Trading Standards,1
Hertfordshire Partnership University NHS Foundation Trust,1
Hertfordshire County Council,1
Hertfordshire Constabulary,1
Herefordshire and Worcestershire Healthy Minds,1
Hereford County Hospital,1
Heaton Norris Health Centre,1
Heathview Medical Practice,1
Hazelmere Medical Centre,1
Heart of Enhland NHS Trust,1
Heart of England NHS Trust,1
Healthcare UK&I,1
Healthcare Care UK,1
Health and Care Professions Council,1
Health Inspectorate Wales,1
Head of Safeguarding,1
Zinnia Healthcare Limited,1
